,lokpraw_regon14,lokpraw_nazwa,lokpraw_adSiedzKraj_Symbol,lokpraw_adSiedzWojewodztwo_Symbol,lokpraw_adSiedzPowiat_Symbol,lokpraw_adSiedzGmina_Symbol,lokpraw_adSiedzKodPocztowy,lokpraw_adSiedzMiejscowoscPoczty_Symbol,lokpraw_adSiedzMiejscowosc_Symbol,lokpraw_adSiedzUlica_Symbol,lokpraw_adSiedzNumerNieruchomosci,lokpraw_adSiedzNumerLokalu,lokpraw_adSiedzNietypoweMiejsceLokalizacji,lokpraw_adSiedzWojewodztwo_Nazwa,lokpraw_adSiedzPowiat_Nazwa,lokpraw_adSiedzGmina_Nazwa,lokpraw_adSiedzMiejscowosc_Nazwa,lokpraw_adSiedzMiejscowoscPoczty_Nazwa,lokpraw_adSiedzUlica_Nazwa,lokpraw_dataPowstania,lokpraw_dataRozpoczeciaDzialalnosci,lokpraw_dataWpisuDoRegon,lokpraw_dataZawieszeniaDzialalnosci,lokpraw_dataWznowieniaDzialalnosci,lokpraw_dataZakonczeniaDzialalnosci,lokpraw_dataSkresleniaZRegon
0,89112930100022,DOLNOŚLĄSKI WOJEWÓDZKI URZĄD PRACY FILIA WE WROCŁAWIU,PL,02,64,029,52326,0986290,0986290,10559,4,,,DOLNOŚLĄSKIE,Wrocław,Wrocław-Fabryczna,Wrocław,Wrocław,ul. Eugeniusza Kwiatkowskiego,2000-09-29,2000-11-01,,,,,
1,89112930100030,DOLNOŚLĄSKI WOJEWÓDZKI URZĄD PRACY FILIA W LEGNICY,PL,02,62,011,59220,0954047,0954047,24685,4,,,DOLNOŚLĄSKIE,Legnica,Legnica,Legnica,Legnica,pl. Wolności,2000-09-29,2000-11-01,,,,,
2,89112930100047,DOLNOŚLĄSKI WOJEWÓDZKI URZĄD PRACY FILIA W JELENIEJ GÓRZE,PL,02,61,011,58500,0935802,0935802,11926,27,,,DOLNOŚLĄSKIE,Jelenia Góra,Jelenia Góra,Jelenia Góra,Jelenia Góra,ul. 1 Maja,2000-09-29,2000-11-01,,,,,
3,43012391300029,WOJEWÓDZKI URZĄD PRACY W LUBLINIE FILIA W CHEŁMIE,PL,06,62,011,22100,0929902,0929902,14201,1,,,LUBELSKIE,Chełm,Chełm,Chełm,Chełm,pl. Niepodległości,2000-05-06,2000-05-06,,,,,
4,43012391300036,WOJEWÓDZKI URZĄD PRACY W LUBLINIE FILIA W ZAMOŚCIU,PL,06,64,011,22400,0987510,0987510,15733,3,,,LUBELSKIE,Zamość,Zamość,Zamość,Zamość,ul. Partyzantów,2000-05-06,2000-05-06,,,,,
5,43012391300043,WOJEWÓDZKI URZĄD PRACY W LUBLINIE FILIA W BIAŁEJ PODLASKIEJ,PL,06,61,011,21500,0922018,0922018,23682,14,,,LUBELSKIE,Biała Podlaska,Biała Podlaska,Biała Podlaska,Biała Podlaska,ul. Warszawska,2000-05-06,2000-05-06,,,,,
6,97013998800028,WOJEWÓDZKI URZĄD PRACY W ZIELONEJ GÓRZE ODDZIAŁ ZAMIEJSCOWY GORZÓW WLKP.,PL,08,61,011,66400,0935140,0935140,09043,34,801       ,,LUBUSKIE,Gorzów Wielkopolski,Gorzów Wielkopolski,Gorzów Wielkopolski,Gorzów Wielkopolski,ul. Kombatantów,1999-01-21,2000-07-01,,,,,
7,47234958200024,WOJEWÓDZKI URZĄD PRACY W ŁODZI CENTRUM INFORMACJI I PLANOWANIA KARIERY ZAWODOWEJ,PL,10,62,011,97300,0967430,0967430,20997,4         ,,,ŁÓDZKIE,Piotrków Trybunalski,Piotrków Trybunalski,Piotrków Trybunalski,Piotrków Trybunalski,ul. Starowarszawska,2000-06-16,2000-06-16,,,,,
8,47234958200031,WOJEWÓDZKI URZĄD PRACY W ŁODZI CENTRUM INFORMACJI I PLANOWANIA KARIERY ZAWODOWEJ,PL,10,63,011,96100,0976942,0976942,07029,28,,,ŁÓDZKIE,Skierniewice,Skierniewice,Skierniewice,Skierniewice,ul. Jagiellońska,2000-06-16,2000-06-16,,,,,
9,47234958200049,WOJEWÓDZKI URZĄD PRACY W ŁODZI CENTRUM INFORMACJI I PLANOWANIA KARIERY ZAWODOWEJ,PL,10,14,011,98200,0976050,0976050,24628,73,,,ŁÓDZKIE,sieradzki,Sieradz,Sieradz,Sieradz,ul. Wojska Polskiego,2000-06-16,2000-06-16,,,,,
10,47229783300024,POWIATOWY URZĄD PRACY ŁÓDŹ-WSCHÓD,PL,10,06,074,95040,0967831,0967831,02247,36        ,,,ŁÓDZKIE,łódzki wschodni,Koluszki,Koluszki,Koluszki,ul. Brzezińska,2005-05-12,2005-05-12,,,,,
11,35711718000012,URZĄD PRACY POWIATU KRAKOWSKIEGO,PL,12,61,029,30019,0950718,0950470,12540,21,,,MAŁOPOLSKIE,Kraków,Kraków-Krowodrza,Kraków,Kraków,ul. Mazowiecka,2000-01-01,2000-01-01,,,,2015-07-28,2015-07-28
12,01617974200027,POWIATOWY URZĄD PRACY W WOŁOMINIE FILIA W TŁUSZCZU,PL,14,34,114,05240,0966441,0966441,23682,10,,,MAZOWIECKIE,wołomiński,Tłuszcz,Tłuszcz,Tłuszcz,ul. Warszawska,2000-01-01,2000-01-01,,,,,
13,01617974200034,POWIATOWY URZĄD PRACY W WOŁOMINIE FILIA URZĘDU W RADZYMINIE,PL,14,34,094,05250,0921591,0921591,23901,31,,,MAZOWIECKIE,wołomiński,Radzymin,Radzymin,Radzymin,ul. Weteranów,2002-05-01,2002-05-01,,,,,
14,05086730300022,POWIATOWY URZĄD PRACY W SOKÓŁCE FILIA W DĄBROWIE BIAŁOSTOCKIEJ,PL,20,11,014,16200,0922923,0922923,21552,4A,,,PODLASKIE,sokólski,Dąbrowa Białostocka,Dąbrowa Białostocka,Dąbrowa Białostocka,ul. gen. Nikodema Sulika,2000-01-01,2000-01-01,,,,,
15,77128612000020,POWIATOWY URZĄD PRACY W SŁUPSKU FILIA W USTCE,PL,22,12,011,76270,0977427,0977427,03446,9,,,POMORSKIE,słupski,Ustka,Ustka,Ustka,ul. Czerwonych Kosynierów,2000-01-01,2000-01-01,,,,,
16,51132639300028,WOJEWÓDZKI URZĄD PRACY W OLSZTYNIE STANOWISKO ZAMIEJSCOWE W EŁKU,PL,28,05,011,19300,0977670,0977670,,10        ,,,WARMIŃSKO-MAZURSKIE,ełcki,Ełk,Ełk,Ełk,,2005-01-01,2005-01-01,,,,,
17,51132639300035,WOJEWÓDZKI URZĄD PRACY W OLSZTYNIE STANOWISKO ZAMIEJSCOWE W ELBLĄGU,PL,28,61,011,82300,0932703,0932703,37883,54        ,,,WARMIŃSKO-MAZURSKIE,Elbląg,Elbląg,Elbląg,Elbląg,ul. Generała Józefa Bema,2005-01-01,2005-01-01,,,,,
18,57086627000027,POWIATOWY URZĄD PRACY W PILE FILIA W WYRZYSKU,PL,30,19,084,89300,0967392,0967392,02498,11,,,WIELKOPOLSKIE,pilski,Wyrzysk,Wyrzysk,Wyrzysk,ul. Bydgoska,2000-01-01,2000-01-01,,,,,
19,81014587500026,POWIATOWY URZĄD PRACY W GOLENIOWIE FILIA W NOWOGARDZIE,PL,32,04,044,72200,0979389,0979389,16415,9,,,ZACHODNIOPOMORSKIE,goleniowski,Nowogard,Nowogard,Nowogard,ul. Plac Wolności,1999-01-01,1999-01-01,,,,,
20,81014619400020,POWIATOWY URZĄD PRACY W GRYFINIE FILIA W CHOJNIE,PL,32,06,034,74500,0978786,0978786,04434,3,,,ZACHODNIOPOMORSKIE,gryfiński,Chojna,Chojna,Chojna,ul. Dworcowa,1999-01-01,1999-01-01,,,,,
