,nip_szukany,regon14,nip,nazwa,nazwaskrocona,numerwrejestrzeewidencji,datapowstania,datarozpoczeciadzialalnosci,datawpisudoregon,datazawieszeniadzialalnosci,datawznowieniadzialalnosci,datazaistnieniazmiany,datazakonczeniadzialalnosci,dataskresleniazregon,adsiedzkraj_symbol,adsiedzwojewodztwo_symbol,adsiedzpowiat_symbol,adsiedzgmina_symbol,adsiedzkodpocztowy,adsiedzmiejscowoscpoczty_symbol,adsiedzmiejscowosc_symbol,adsiedzulica_symbol,adsiedznumernieruchomosci,adsiedznumerlokalu,adsiedznietypowemiejscelokalizacji,numertelefonu,numerwewnetrznytelefonu,numerfaksu,adresemail,adresstronyinternetowej,adresemail2,adkorkraj_symbol,adkorwojewodztwo_symbol,adkorpowiat_symbol,adkorgmina_symbol,adkorkodpocztowy,adkormiejscowoscipoczty_symbol,adkormiejscowosc_symbol,adkorulica_symbol,adkornumernieruchomosci,adkornumerlokalu,adkornietypowemiejscelokalizacji,adkornazwapodmiotudokorespondencji,adsiedzkraj_nazwa,adsiedzwojewodztwo_nazwa,adsiedzpowiat_nazwa,adsiedzgmina_nazwa,adsiedzmiejscowosc_nazwa,adsiedzmiejscowoscpoczty_nazwa,adsiedzulica_nazwa,adkorkraj_nazwa,adkorwojewodztwo_nazwa,adkorpowiat_nazwa,adkorgmina_nazwa,adkormiejscowosc_nazwa,adkormiejscowoscpoczty_nazwa,adkorulica_nazwa,podstawowaformaprawna_symbol,szczegolnaformaprawna_symbol,formafinansowania_symbol,formawlasnosci_symbol,organzalozycielski_symbol,organrejestrowy_symbol,rodzajrejestruewidencji_symbol,podstawowaformaprawna_nazwa,szczegolnaformaprawna_nazwa,formafinansowania_nazwa,formawlasnosci_nazwa,organzalozycielski_nazwa,organrejestrowy_nazwa,rodzajrejestruewidencji_nazwa,jednosteklokalnych,datawpisudorejestruewidencji,adkormiejscowoscipoczty_nazwa
0,8862566413,89112930100000,8862566413,DOLNOŚLĄSKI WOJEWÓDZKI URZĄD PRACY,"DOLNOŚL.WOJ.URZĄD PRACY,W-CH",,2000-09-29,2000-11-01,,,,2008-12-10,,,PL,02,65,011,58306,0983681,0983681,14834,5B,,,748866503,,748866509,walbrzych.dwup@dwup.pl,www.dwup.pl,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,Wałbrzych,Wałbrzych,Wałbrzych,Wałbrzych,ul. Ogrodowa,,,,,,,,2,431,2,113,250020000,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,WOJEWÓDZKIE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,MARSZAŁEK WOJEWÓDZTWA DOLNOŚLĄSKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,3,2000-09-29,
1,6121088103,23088196200000,6121088103,POWIATOWY URZĄD PRACY W BOLESŁAWCU,"POWIATOWY URZĄD PRACY,B-C",,2000-01-01,2000-01-01,,,,2008-11-03,,,PL,02,01,011,59700,0935989,0935989,14618,10,,,0757326601,,7326601,wrbo@praca.gov.pl,http://pup.boleslawiec.ibi.pl,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,Bolesławiec,Bolesławiec,ul. Obrońców Helu,,,,,,,,2,430,2,113,260020100,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU BOLESŁAWIECKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,2000-01-01,
2,8821476156,89107471200000,8821476156,POWIATOWY URZĄD PRACY W DZIERŻONIOWIE,"PUP,DZIERŻONIÓW",,2000-01-01,2000-01-01,,,,2021-02-11,,,PL,02,02,021,58200,0983988,0983988,19253,27,,,0748312347,,0748312347,sekretariat@pupdzierzoniow.pl,,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,dzierżoniowski,Dzierżoniów,Dzierżoniów,Dzierżoniów,ul. Rynek,,,,,,,,2,430,2,113,260020200,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU DZIERŻONIOWSKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,2000-01-01,
3,6931897159,39073019900000,6931897159,POWIATOWY URZĄD PRACY W GŁOGOWIE,"URZĄD PRACY, GŁOGÓW",,1998-07-24,2000-01-01,,,,2009-07-08,,,PL,02,03,011,67200,0954082,0954082,16033,1,,,076727555,,0767275501,,,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,głogowski,Głogów,Głogów,Głogów,ul. Piaskowa,,,,,,,,2,430,2,113,260020300,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU GŁOGOWSKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,1998-07-24,
4,6991448241,93211137600000,6991448241,POWIATOWY URZĄD PRACY W GÓRZE,"URZĄD PRACY,GÓRA",,1999-01-01,1999-01-01,,,,2010-11-23,,,PL,02,04,014,56200,0954449,0954449,17394,4,,,655432225,,655433612,wrgo@praca.gov.pl,pup.gora.sisco.info,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,górowski,Góra,Góra,Góra,ul. Poznańska,,,,,,,,2,430,2,113,260020400,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU GÓROWSKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,1999-01-01,
5,6951009222,39073270300000,6951009222,POWIATOWY URZĄD PRACY,PUP JAWOR,,1998-11-06,2000-01-01,,,,2008-10-31,,,PL,02,05,011,59400,0954120,0954120,21359,7,,,0768702457,,0760768702406,wrja@praca.gov.pl,pup-jawor.pl,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,jaworski,Jawor,Jawor,Jawor,ul. Strzegomska,,,,,,,,2,430,2,113,260020500,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU JAWORSKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,1998-11-06,
6,6111072508,23088200000000,6111072508,POWIATOWY URZĄD PRACY W JELENIEJ GÓRZE,"POWIATOWY URZĄD PRACY,JG",,2000-01-01,2000-01-01,,,,2009-04-08,,,PL,02,61,011,58508,0935802,0935802,16713,15,,,0756473160,104,0756473163,wrj@praca.gov.pl,www.urzadpracy.jgora.pl,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,Jelenia Góra,Jelenia Góra,Jelenia Góra,Jelenia Góra,ul. Podchorążych,,,,,,,,2,430,2,113,070026100,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU M. JELENIA GÓRA,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,2000-01-01,
7,6141339287,23088201600000,6141339287,POWIATOWY URZĄD PRACY W KAMIENNEJ GÓRZE,"POWIATOWY URZĄD PRACY, KAM.GÓRA",,2000-01-01,2000-01-01,,,,2008-11-14,,,PL,02,07,011,58400,0936026,0936026,19834,6 A,,,0756450160,,0756450170,WRKA@PRACA.GOV.PL,WWW.PUPKAMIENNAGORA.PL,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,kamiennogórski,Kamienna Góra,Kamienna Góra,Kamienna Góra,ul. Henryka Sienkiewicza,,,,,,,,2,430,2,113,260020700,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU KAMIENNOGÓRSKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,2000-01-01,
8,8831012168,89112912300000,8831012168,POWIATOWY URZĄD PRACY W KŁODZKU,"PUP,KŁODZKO",,2000-01-01,2000-01-01,,,,2015-06-01,,,PL,02,08,021,57300,0984077,0984077,25084,2J,,,748657410,,748657434,sekretariat@pup.klodzko.pl,www.pup.klodzko.pl,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,kłodzki,Kłodzko,Kłodzko,Kłodzko,ul. Stanisława Wyspiańskiego,,,,,,,,2,430,2,113,260020800,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU KŁODZKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,,
9,6911074087,39072980700000,6911074087,POWIATOWY URZĄD PRACY,,,1999-12-29,2000-01-01,,,,2023-03-23,,,PL,02,62,011,59220,0954047,0954047,00285,2,,,767225210,,767225211,puplegnica@puplegnica.pl,legnica.praca.gov.pl,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,Legnica,Legnica,Legnica,Legnica,ul. gen. Władysława Andersa,,,,,,,,2,430,2,113,260020900,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU LEGNICKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,,
